Text,Label
"Two persons were killed in lightning strikes by unseasonal rains in two talukas of Maharashtra`s Jalna district, an official report said on Wednesday. The deceased also included a woman",1
"Three persons, including two women, died after allegedly being struck by lightning in three Odisha districts on Thursday afternoon. While two women died in separate tragedies in Kandhamal and Gajapati districts",1
"Srinagar, May 6: Four people including a couple were killed after lightning struck in  Jammu and Kashmir’s Budgam and Pulwama districts on Saturday. ",1
"The chef's lightning skills in the kitchen were unmatched, whipping up gourmet dishes in record time. His innovative techniques and lightning-fast preparation impressed diners. Each meal was a culinary masterpiece, delivered with precision and flair.",0
The weather forecast predicts thunderstorms and lightning strikes in the region.,1
"3 Killed In Lightning Strikes, Tree Collapse Incidents In Maharashtra",1
"10-year-old boy was killed in a lightning strike in Manipur as strong winds accompanied by rain inflicted widespread damage to houses, agricultural fields and livestock shelters on Sunday.",1
"The traveler embarked on a lightning tour of Europe, exploring cities with boundless energy. Each destination was a lightning bolt of excitement, leaving memories that would last a lifetime. Their lightning itinerary ensured every moment was an adventure.",0
Four people lost their lives in separate incidents of lightning strikes in Uttar Pradesh.,0
The volunteer's lightning organization of the relief efforts brought aid to those in need swiftly. Her quick action and dedication were heartwarming. The lightning efficiency made a significant impact on the community.,0
CUDDALORE/KALLAKURICHI: A 34-year-old man was killed by lightning near Thittakudi while he was on his way to attend a funeral on Wednesday.,1
A tech startup has unveiled a revolutionary AI tool designed to streamline business operations. Early adopters report significant increases in efficiency and productivity. Experts believe this innovation could transform the industry.,0
There were reports of several lightning strikes in the area last night.,1
"The public speaker's lightning charisma captivated the audience, leaving them hanging on every word. His quick wit and engaging stories made the speech memorable. The lightning delivery earned a standing ovation.",0
"The online store’s lightning expansion has disrupted the traditional retail market. With a wide range of products and fast delivery, customer satisfaction is high. This lightning growth is a game-changer for the industry.",0
Two siblings died after being struck by lightning in a paddy field at the Hunasekatte junction in Bhadravathi talukBhadravathi: Two siblings died after being struck by lightning in a paddy field at the Hunasekatte junction in Bhadravathi taluk on Tuesday night,1
An investigation is underway after a lightning strike caused damage to the power lines.,1
"The author's lightning imagination created a bestselling novel overnight. Her storytelling was vivid and fast-paced, captivating readers. Critics hailed her lightning creativity and unique narrative style.",0
"Bihar: As another six people were killed in separate incidents of lightning strike on Wednesday evening and Thursday, the total number of deaths due to the lightning strikes across the state reached to 15 in the last 48 hours",1
"On average, there were 271 human deaths and 57.2 injuries due to lightning strikes each year in Bihar during the six-year study period. ",0
"The engineer's lightning innovation streamlined the production process, reducing costs dramatically. His quick implementation of new ideas set the project ahead of schedule. The lightning efficiency impressed stakeholders and boosted productivity.",0
11 Killed In Separate Lightning Strike Incidents In Bengal's Malda,1
Utility crews are working tirelessly to restore power after a thunderstorm knocked out electricity to thousands of homes. The storm brought down power lines and damaged transformers. Full restoration is expected within 48 hours.,0
"55-year-old woman and nearly 50 sheep and goats she was grazing were killed by lightning strikes in Ganagala village, Hoskote taluk, on Friday afternoon.",1
"42 people died Sunday in different districts of Uttar Pradesh, according to disaster-response authorities in India's most populous state.",0
The book discusses the cultural significance of lightning in mythology.,0
"The band's concert was a lightning storm of music and emotion, energizing the crowd. The lead singer's lightning charisma and powerful vocals stole the show. Fans left exhilarated, craving more of the electrifying performance.",0
The newly elected mayor has outlined an ambitious plan to improve public transportation. The proposal includes expanded bus routes and updated infrastructure. Residents are optimistic about the potential benefits.,0
"Forty-year-old Sanoj Patra was supervising his one acre of paddy field in Odisha’s Khordha district when lightning struck, killing him on the spot. ",1
5 Persons Die Trying To Save Cat From Abandoned Well Used As Biogas Pit In Ahmednagar,0
As many as 20 people were killed in lightning strikes across Gujarat as unseasonal rain hammered the state over the weekend.,1
"Recently, Goa witnessed heavy rains and thunder, with lightning striking the Manohar International Airport (MIA) on May 22 around 5.15 pm. ",1
One person was injured after lightning in Edachery near Nadapuram struck seven MGNREGA workers.,1
"The candidate's lightning campaign strategy has energized voters across the state. Utilizing social media and grassroots efforts, she has quickly gained a strong following. Her lightning rise in the polls is surprising many political analysts.",0
The local school district announced a major overhaul of its curriculum to enhance STEM education. The initiative aims to better prepare students for future careers. Parents and educators have praised the forward-thinking approach.,0
Lightning-fast delivery is one of the key features of the new e-commerce platform.,0
"India and Ireland kick off their T20 World Cup campaigns. India seeks a title since 2007, led by Rohit Sharma against Paul Stirling's Ireland",0
A 45-year-old farmer was killed while his wife and another person received severe injuries after being struck by lightning during a thunderstorm on Sunday in the southern parts of Manipur.,1
The new lightning detection system proved effective in predicting lightning strikes.,1
"Her company shot to prominence with the speed of lightning, thanks to an innovative app that streamlined workflow. Investors were drawn to her lightning-fast decision-making. Her ability to anticipate market needs propelled the startup to new heights.",0
27 people have died due to recent lightning strikes in the state. The IMD has attributed the flashes to three weather systems.rains in parts of northwestern India.,0
The lightning storm caused disruptions to the city's transportation system.,1
"The new software update brought lightning-quick processing times, transforming user experiences. Developers praised its efficiency and speed. The lightning improvement set a new standard in the tech industry.",0
"A thunderstorm created hazardous conditions on the lake, leading to multiple boating incidents. Rescue teams were dispatched to assist stranded and capsized vessels. Officials are urging boaters to stay ashore until the weather clears.",0
A lightning bolt-shaped crack appeared on the wall after the earthquake,0
Rain accompanied by thunderstorms and lightning occurred in different parts of the State including Cuttack and Bhubaneswar.,0
Commuters faced significant disruptions as a thunderstorm caused delays and cancellations in public transportation. Flooded tracks and fallen trees blocked several routes. Transportation authorities are working to restore normal services.,0
Three in Nawada among eight persons were killed by lightning strikes in the state on Friday as the death toll mounted to at least 19 over the last 36 hours.,0
"Three persons, including two women, died after allegedly being struck by lightning in three Odisha districts on Thursday afternoon.",1
"Twenty-four people have died by lightning strikes and about 23 injured in rain-related incidents in the western Indian state of Gujarat over the past two days, government officials say, with rains continuing on Monday morning",1
